智能网联项目经理,天津联通-产业互联网研究院-系统集成中心（RPO）-天津联通-产业互联网研究院-系统集成中心,面议,天津,电子/通信/硬件,2019.08.31-2020.09.30,本科,1人
维修类岗位,中国核工业集团有限公司-中核霞浦核电有限公司,面议,福建省-宁德,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
安全管理人员,中国核工业集团有限公司-贵州核工业新原实业有限责任公司,5000-8000,贵州省-贵阳,能源/矿产环保,2020.07.13-2020.10.31,本科,1人
法务人员,中国核工业集团有限公司-贵州核工业新原实业有限责任公司,5000-8000,贵州省-贵阳,能源/矿产环保,2020.07.13-2020.10.31,本科,1人
综合行政,中国核工业集团有限公司-水电运行管理中心,面议,云南省,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
运行类岗位,中国核工业集团有限公司-中核霞浦核电有限公司,面议,福建省-宁德,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
水工（水工部）,中国核工业集团有限公司-水电运行管理中心,面议,云南省,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
运行（水工部）,中国核工业集团有限公司-水电运行管理中心,面议,云南省 新疆自治区-喀什,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
辐射防护技术,中国核工业集团有限公司-核电运行研究（上海）有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
运行（运维部）,中国核工业集团有限公司-水电运行管理中心,面议,湖南省,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
反应堆运行物理技术,中国核工业集团有限公司-核电运行研究（上海）有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
物探专业技术岗（核方向）,中国核工业集团有限公司-核工业航测遥感中心,4000-6000,河北省-石家庄,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,1人
运行与检修（运维部）,中国核工业集团有限公司-水电运行管理中心,面议,新疆自治区-和田 宁夏自治区-中卫,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
概率安全分析研究（PSA）,中国核工业集团有限公司-核电运行研究（上海）有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
检修,中国核工业集团有限公司-水电运行管理中心,面议,新疆自治区-和田,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
电厂热力性能研究,中国核工业集团有限公司-核电运行研究（上海）有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
力学分析,中国核工业集团有限公司-核电运行研究（上海）有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
企业管理员,中国核工业集团有限公司-河北圣雪大成唐山制药有限责任公司,3500-6000,河北省-唐山,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,1人
党务专员,中国核工业集团有限公司-河北圣雪大成唐山制药有限责任公司,3500-6000,河北省-唐山,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,1人
水工专责,中国核工业集团有限公司-水电运行管理中心,面议,新疆自治区-阿勒泰 宁夏自治区-中卫,能源/矿产环保,2020.07.13-2020.10.31,本科,若干
自动化技术,中国核工业集团有限公司-核电运行研究（上海）有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
测控技术,中国核工业集团有限公司-核电运行研究（上海）有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
设施业务助理,中国核工业集团有限公司-中核清原环境技术工程有限责任公司,面议,北京,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,2人
运行与检修（生产管理部）,中国核工业集团有限公司-水电运行管理中心,面议,新疆自治区-阿勒泰,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
污染修复工程技术岗,中国核工业集团有限公司-核工业航测遥感中心,4000-6000,河北省-石家庄,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,2人
分析专业技术岗,中国核工业集团有限公司-核工业航测遥感中心,4000-6000,河北省-石家庄,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,1人
数据分析,中国核工业集团有限公司-核电运行研究（上海）有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
科研技术岗24,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
综合管理,中国核工业集团有限公司-华东新华能源投资有限公司,面议,江苏省-扬州,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
材料和老化技术,中国核工业集团有限公司-核电运行研究（上海）有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
审计,中国核工业集团有限公司-华东新华能源投资有限公司,面议,江苏省-扬州,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
管理岗,中国核工业集团有限公司-中国核动力研究设计院,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
财务、审计岗2,中国核工业集团有限公司-中国核动力研究设计院,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
设备研发岗,中国核工业集团有限公司-核工业航测遥感中心,4000-6000,河北省-石家庄,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,1人
财务、审计岗,中国核工业集团有限公司-中国核动力研究设计院,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
质保部储备干部,中国核工业集团有限公司-内蒙古圣雪大成制药有限公司,4000-8000,内蒙古自治区-通辽,能源/矿产环保,2020.07.13-2020.10.31,本科,若干
市场开发,中国核工业集团有限公司-华东新华能源投资有限公司,面议,江苏省-扬州,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
管理岗4,中国核工业集团有限公司-中国核动力研究设计院核动力设备集成采购部,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
管理岗3,中国核工业集团有限公司-中国核动力研究设计院核动力设备集成采购部,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
管理岗2,中国核工业集团有限公司-中国核动力研究设计院核动力设备集成采购部,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
管理岗,中国核工业集团有限公司-中国核动力研究设计院核动力设备集成采购部,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗4,中国核工业集团有限公司-中国核动力研究设计院建筑所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗3,中国核工业集团有限公司-中国核动力研究设计院建筑所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗2,中国核工业集团有限公司-中国核动力研究设计院建筑所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
科研技术岗,中国核工业集团有限公司-中国核动力研究设计院建筑所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
管理岗4,中国核工业集团有限公司-中国核动力研究设计院档案馆,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
综合能源,中国核工业集团有限公司-华东新华能源投资有限公司,面议,江苏省-扬州,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
管理岗3,中国核工业集团有限公司-中国核动力研究设计院档案馆,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
管理岗2,中国核工业集团有限公司-中国核动力研究设计院档案馆,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
管理岗,中国核工业集团有限公司-中国核动力研究设计院档案馆,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗,中国核工业集团有限公司-中国核动力研究设计院档案馆,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
法律事务办公室职员,中国核工业集团有限公司-内蒙古圣雪大成制药有限公司,3000-5000,内蒙古自治区-通辽,能源/矿产环保,2020.07.13-2020.10.31,本科,若干
科研技术岗3,中国核工业集团有限公司-中国核动力研究设计院信息化与网络管理中心,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗2,中国核工业集团有限公司-中国核动力研究设计院信息化与网络管理中心,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗,中国核工业集团有限公司-中国核动力研究设计院信息化与网络管理中心,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
生产准备,中国核工业集团有限公司-中核海洋核动力发展有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,6人
科研技术岗37,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
会计,中国核工业集团有限公司-华东新华能源投资有限公司,面议,江苏省-扬州,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
科研技术岗36,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
科研技术岗35,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
工程部技术员,中国核工业集团有限公司-内蒙古圣雪大成制药有限公司,3000-5000,内蒙古自治区-通辽,能源/矿产环保,2020.07.13-2020.10.31,本科,若干
科研技术岗34,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
科研技术岗33,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
科研技术岗32,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
科研技术岗20,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
船舶设计,中国核工业集团有限公司-中核海洋核动力发展有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,3人
行政管理,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
党务管理,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科,若干
商务合同管理,中国核工业集团有限公司-中核海洋核动力发展有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,3人
人力资源管理,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科,若干
档案管理,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科,若干
法务管理,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科,若干
物项管理,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
质量管理（体系）,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科,若干
工程管理,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
商务管理,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
企业管理/法务合规管理,中国核工业集团有限公司-中核海洋核动力发展有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,1人
信息技术,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
理化技术,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
检测技术,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
测量技术,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
暖通技术,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
吊装技术,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
土建技术,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
工艺操作人员,中国核工业集团有限公司-中核北方核燃料元件有限公司,面议,内蒙古自治区-包头,能源/矿产环保,2020.07.13-2020.10.31,专科,若干
科研技术岗31,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
综合财务/成本预算,中国核工业集团有限公司-中核海洋核动力发展有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,1人
科研技术岗30,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
科研技术岗29,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
科研技术岗28,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
科研技术岗27,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
科研技术岗26,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
管理岗,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
财务、审计岗2,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
财务、审计岗,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗25,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗24,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗23,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗22,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗21,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗19,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗18,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗17,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗16,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗15,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗14,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
仪表技术,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
科研技术岗13,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗12,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗11,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗10,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗9,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗8,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗7,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗6,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗5,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗4,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗3,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗2,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗,中国核工业集团有限公司-中国核动力研究设计院设计所,面议,四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
人力资源管理,中国核工业集团有限公司-中核海洋核动力发展有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,1人
科研技术岗26,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
结构技术,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
科研技术岗25,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
机械技术,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
科研技术岗23,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
电气技术,中国核工业集团有限公司-中国核工业第五建设有限公司,面议,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
科研技术岗22,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
焊接技术,中国核工业集团有限公司-中国核工业第五建设有限公司,5000-8000,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
科研技术岗21,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,博士研究生,若干
管道技术,中国核工业集团有限公司-中国核工业第五建设有限公司,5000-8000,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
管理岗,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
财务、审计岗,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗20,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗19,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗18,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗17,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗16,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗15,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗14,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗13,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗12,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗11,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗10,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
安全管理,中国核工业集团有限公司-中国核工业第五建设有限公司,5000-8000,上海,能源/矿产环保,2020.07.13-2020.10.31,专科及以上,若干
科研技术岗9,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗8,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗7,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗6,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗5,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗4,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
电工,中国核工业集团有限公司-中核混凝土股份有限公司,面议,陕西省-西安,能源/矿产环保,2020.07.13-2020.10.31,其他,6人
科研技术岗3,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
科研技术岗2,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
修理工,中国核工业集团有限公司-中核混凝土股份有限公司,面议,江苏省-连云港 陕西省-西安,能源/矿产环保,2020.07.13-2020.10.31,其他,4人
科研技术岗,中国核工业集团有限公司-中国核动力研究设计院第四研究所,面议,四川省-乐山 四川省-成都,能源/矿产环保,2020.07.13-2020.10.31,硕士研究生,若干
试验工,中国核工业集团有限公司-中核混凝土股份有限公司,面议,浙江省-台州 甘肃省-嘉峪关,能源/矿产环保,2020.07.13-2020.10.31,其他,4人
操作工,中国核工业集团有限公司-中核混凝土股份有限公司,面议,浙江省-台州 海南省-昌江黎族自治县,能源/矿产环保,2020.07.13-2020.10.31,其他,8人
人力资源管理,中国核工业集团有限公司-中核混凝土股份有限公司,面议,浙江省-台州 海南省-昌江黎族自治县,能源/矿产环保,2020.07.13-2020.10.31,本科,2人
技术工人,中国核工业集团有限公司-中核建中核燃料元件有限公司,6000-8000,四川省-宜宾,能源/矿产环保,2020.07.13-2020.10.31,专科,若干
设备管理,中国核工业集团有限公司-中核混凝土股份有限公司,面议,浙江省-台州,能源/矿产环保,2020.07.13-2020.10.31,本科,1人
合同管理,中国核工业集团有限公司-中核混凝土股份有限公司,面议,浙江省-温州,能源/矿产环保,2020.07.13-2020.10.31,本科,1人
见习助理工程师,中国核工业集团有限公司-中核建中核燃料元件有限公司,8000-10000,四川省-宜宾,能源/矿产环保,2020.07.13-2020.10.31,本科及以上,若干
财务管理,中国核工业集团有限公司-中核混凝土股份有限公司,面议,浙江省-温州,能源/矿产环保,2020.07.13-2020.10.31,本科,1人
